id,slug,category,subcategory,question,aliases,answer_markdown,keywords,difficulty,related_questions,source
331,what-is-income-distribution,Collective Investment Schemes,Returns,What is income distribution in a fund?,Define income distribution; Fund distributions,"# Income Distribution

Income distribution is the payment of earnings such as dividends or interest generated by a fund to its investors.",income distribution;fund income,Beginner,What is dividend income?,CMA
332,what-is-capital-growth-fund,Collective Investment Schemes,Fund Types,What is a capital growth fund?,Define capital growth fund,"# Capital Growth Fund

A capital growth fund focuses on increasing the value of investments over time rather than generating regular income.",capital growth fund,Beginner,What is an equity fund?,CMA
333,what-is-income-fund,Collective Investment Schemes,Fund Types,What is an income fund?,Define income fund,"# Income Fund

An income fund primarily invests in assets that generate regular income, such as bonds and dividend-paying shares.",income fund,Beginner,What is a fixed income fund?,CMA
334,what-is-fund-liquidity,Collective Investment Schemes,Liquidity,What is fund liquidity?,Define fund liquidity,"# Fund Liquidity

Fund liquidity refers to how easily investors can redeem their units and how readily the fund can convert assets into cash.",fund liquidity,Intermediate,What is liquidity?,Internal
335,what-is-open-ended-fund,Collective Investment Schemes,Fund Structure,What is an open-ended fund?,Define open-ended fund,"# Open-Ended Fund

An open-ended fund continuously issues and redeems units based on investor demand at the current net asset value.",open-ended fund,Intermediate,What is a closed-ended fund?,CMA
336,what-is-closed-ended-fund,Collective Investment Schemes,Fund Structure,What is a closed-ended fund?,Define closed-ended fund,"# Closed-Ended Fund

A closed-ended fund issues a fixed number of shares that are traded between investors on an exchange.",closed-ended fund,Intermediate,What is an open-ended fund?,CMA
337,what-is-fund-custodian,Collective Investment Schemes,Fund Management,What is a fund custodian?,Define fund custodian,"# Fund Custodian

A fund custodian is a financial institution responsible for safeguarding a fund's assets on behalf of investors.",fund custodian,Beginner,What is a trustee?,CMA
338,what-is-a-fund-trustee,Collective Investment Schemes,Fund Management,What is a fund trustee?,Define fund trustee,"# Fund Trustee

A fund trustee oversees the operation of a collective investment scheme to help ensure it complies with regulations and protects investors' interests.",fund trustee,Intermediate,What is a fund custodian?,CMA
339,what-is-fund-prospectus,Collective Investment Schemes,Documents,What is a fund prospectus?,Define fund prospectus,"# Fund Prospectus

A fund prospectus is a legal document describing a fund's objectives, strategy, risks, fees, and other important information for investors.",fund prospectus,Beginner,What is a fund fact sheet?,CMA
340,why-read-a-fund-prospectus,Collective Investment Schemes,Documents,Why should investors read a fund prospectus?,Importance of prospectus,"# Why Read a Fund Prospectus?

Reading a prospectus helps investors understand a fund's objectives, fees, risks, and investment strategy before investing.",prospectus,Beginner,What is a fund prospectus?,CMA
