id,slug,category,subcategory,question,aliases,answer_markdown,keywords,difficulty,related_questions,source
141,what-is-behavioral-finance,Investing Basics,Behavior,What is behavioral finance?,Define behavioral finance; Behavioral finance meaning,"# Behavioral Finance

Behavioral finance studies how emotions and psychological factors influence investment decisions.",behavioral finance;psychology,Intermediate,What is emotional investing?,Academic
142,what-is-investor-bias,Investing Basics,Behavior,What is investor bias?,Define investor bias,"# Investor Bias

Investor bias refers to mental shortcuts or emotional tendencies that can lead to poor investment decisions.",investor bias;behavior,Intermediate,What is behavioral finance?,Academic
143,what-is-overconfidence-bias,Investing Basics,Behavior,What is overconfidence bias?,Define overconfidence bias,"# Overconfidence Bias

Overconfidence bias occurs when investors overestimate their knowledge or ability to predict market movements.",overconfidence,Intermediate,What is investor bias?,Academic
144,what-is-loss-aversion,Investing Basics,Behavior,What is loss aversion?,Define loss aversion,"# Loss Aversion

Loss aversion is the tendency to feel losses more strongly than equivalent gains, often influencing investment decisions.",loss aversion,Intermediate,Why avoid emotional investing?,Academic
145,what-is-financial-security,Investing Basics,Goals,What is financial security?,Define financial security,"# Financial Security

Financial security is the confidence that you have enough resources to meet current and future financial needs.",financial security,Beginner,What is financial independence?,Internal
146,what-is-wealth-creation,Investing Basics,Goals,What is wealth creation?,Define wealth creation,"# Wealth Creation

Wealth creation is the process of increasing your financial assets over time through saving, investing, and prudent financial management.",wealth creation,Beginner,Why should I invest?,Internal
147,what-is-a-financial-plan,Investing Basics,Planning,What is a financial plan?,Define financial plan,"# Financial Plan

A financial plan outlines your income, expenses, savings, investments, insurance, and long-term financial objectives.",financial plan,Beginner,What is financial planning?,Internal
148,why-review-your-investments,Investing Basics,Portfolio,Why should I review my investments regularly?,Review investment portfolio,"# Reviewing Investments

Regular portfolio reviews help ensure your investments remain aligned with your goals, risk tolerance, and changing market conditions.",portfolio review,Beginner,How do I build a portfolio?,Internal
149,what-is-rebalancing,Investing Basics,Portfolio,What is portfolio rebalancing?,Define portfolio rebalancing,"# Portfolio Rebalancing

Portfolio rebalancing is adjusting the mix of investments to maintain your desired asset allocation over time.",rebalancing;asset allocation,Intermediate,What is asset allocation?,Internal
150,why-is-patience-important-in-investing,Investing Basics,Behavior,Why is patience important in investing?,Importance of patience in investing,"# Patience in Investing

Patience helps investors stay focused on long-term goals and avoid making impulsive decisions based on short-term market fluctuations.",patience;long-term investing,Beginner,What is long-term investing?,Internal
