id,slug,category,subcategory,question,aliases,answer_markdown,keywords,difficulty,related_questions,source
121,what-is-dollar-cost-averaging,Investing Basics,Strategies,What is dollar-cost averaging?,Define dollar cost averaging; DCA meaning,"# Dollar-Cost Averaging

Dollar-cost averaging is an investment strategy where a fixed amount is invested at regular intervals regardless of market prices.",dollar cost averaging;DCA,Intermediate,What is lump-sum investing?,Internal
122,what-is-lump-sum-investing,Investing Basics,Strategies,What is lump-sum investing?,Define lump sum investing,"# Lump-Sum Investing

Lump-sum investing means investing a large amount of money at one time rather than gradually.",lump sum;investing,Intermediate,What is dollar-cost averaging?,Internal
123,what-is-investment-horizon,Investing Basics,Planning,What is an investment horizon?,Define investment horizon,"# Investment Horizon

An investment horizon is the length of time an investor expects to hold an investment before needing the money.",investment horizon,Beginner,How does horizon affect risk?,Internal
124,what-is-financial-goal,Investing Basics,Planning,What is a financial goal?,Define financial goal,"# Financial Goal

A financial goal is a target you want to achieve using your money, such as buying a home, funding education, or retirement.",financial goals,Beginner,What are investment goals?,Internal
125,how-to-manage-investment-risk,Investing Basics,Risk,How can I manage investment risk?,Reduce investment risk; Managing risk,"# Managing Investment Risk

Risk can be managed through diversification, proper asset allocation, regular portfolio reviews, and investing according to your financial goals.",risk management,Beginner,Why diversify?,Internal
126,what-is-speculation,Investing Basics,Risk,What is speculation?,Define speculation,"# Speculation

Speculation involves taking high risks in the hope of earning high returns, often over a short period.",speculation,Intermediate,What is investing?,Internal
127,what-is-financial-independence,Investing Basics,Goals,What is financial independence?,Define financial independence,"# Financial Independence

Financial independence is the ability to meet your living expenses without relying on employment income.",financial independence,Beginner,What is passive income?,Internal
128,what-is-retirement-planning,Investing Basics,Planning,What is retirement planning?,Define retirement planning,"# Retirement Planning

Retirement planning is the process of saving and investing to provide income during retirement.",retirement planning,Beginner,Why should I invest?,Internal
129,what-is-net-worth,Investing Basics,Finance,What is net worth?,Define net worth,"# Net Worth

Net worth is the difference between what you own (assets) and what you owe (liabilities).",net worth;assets;liabilities,Beginner,What are assets?,Internal
130,what-are-assets-and-liabilities,Investing Basics,Finance,What are assets and liabilities?,Define assets and liabilities,"# Assets and Liabilities

Assets are resources you own that have value, while liabilities are debts or obligations you owe.",assets;liabilities,Beginner,What is net worth?,Internal
