id,slug,category,subcategory,question,aliases,answer_markdown,keywords,difficulty,related_questions,source
1,what-is-the-nairobi-securities-exchange,NSE Basics,Introduction,What is the Nairobi Securities Exchange (NSE)?,What is NSE?; Explain the Nairobi Securities Exchange; Tell me about the NSE; Define NSE; What does NSE stand for?; Kenya's stock exchange,"# Nairobi Securities Exchange (NSE)

The Nairobi Securities Exchange (NSE) is Kenya's principal securities exchange where investors buy and sell shares, bonds, ETFs and REITs.

## Main Functions
- Provides a regulated marketplace.
- Enables companies to raise capital.
- Offers investment opportunities.
- Promotes transparency and investor confidence.

The NSE plays an important role in Kenya's economy and operates under the Capital Markets Authority (CMA).",NSE; Nairobi Securities Exchange; Kenya; stock exchange; capital market,Beginner,Who regulates the NSE?; How does the NSE work?; What is a stock exchange?,"NSE, CMA"
2,what-is-a-stock-exchange,NSE Basics,Introduction,What is a stock exchange?,Define stock exchange; Explain stock exchange; What does stock exchange mean?; Purpose of a stock exchange,"# Stock Exchange

A stock exchange is a regulated marketplace where investors buy and sell financial securities such as shares and bonds.

## Functions
- Matches buyers and sellers.
- Provides transparent pricing.
- Supports capital raising.
- Protects investors through regulation.",stock exchange; market; shares,Beginner,What is the NSE?; How are shares traded?,General
3,history-of-the-nse,NSE Basics,History,When was the Nairobi Securities Exchange established?,History of NSE; When did NSE start?; NSE founding,"# History of the NSE

The Nairobi Securities Exchange traces its origins to **1954** when it was established as a voluntary association of stockbrokers. Today it is one of Africa's leading securities exchanges.",history;1954;NSE,Beginner,Why was the NSE established?,NSE
4,purpose-of-the-nse,NSE Basics,Functions,What is the purpose of the NSE?,Functions of NSE; Why does the NSE exist?; Role of the NSE,"# Purpose of the NSE

The NSE provides a secure and transparent marketplace where investors buy and sell securities while companies raise capital. It also supports economic growth and investor confidence.",purpose;capital;investment,Beginner,What is capital raising?,NSE
5,who-regulates-the-nse,NSE Basics,Regulation,Who regulates the Nairobi Securities Exchange?,NSE regulator; Who oversees NSE?; CMA and NSE,"# Regulation

The **Capital Markets Authority (CMA)** regulates Kenya's capital markets and oversees the Nairobi Securities Exchange to ensure fair, transparent and efficient trading.",CMA; regulator,Beginner,What is the CMA?,CMA
6,who-can-invest-in-the-nse,NSE Basics,Investors,Who can invest in the Nairobi Securities Exchange?,Can anyone invest?; Who buys shares?; Who is allowed to invest?,"# Investing in the NSE

Both individual and institutional investors can invest in the NSE. Investors typically require a CDS account and a licensed broker.",investors; CDS; broker,Beginner,What is a CDS account?,NSE
7,types-of-securities-on-the-nse,NSE Basics,Products,What securities are traded on the NSE?,What can I buy on the NSE?; Investment products on NSE,"# Securities

Products traded include:
- Ordinary shares
- Government bonds
- Corporate bonds
- ETFs
- REITs",shares;bonds;ETF;REIT,Beginner,What is a bond?,NSE
8,what-is-a-listed-company,NSE Basics,Companies,What is a listed company?,Listed company meaning; Define listed company,"# Listed Company

A listed company is a company whose shares are officially traded on a stock exchange and must meet disclosure and reporting requirements.",listed company;public company,Beginner,How does a company get listed?,NSE
9,why-do-companies-list-on-the-nse,NSE Basics,Companies,Why do companies list on the NSE?,Benefits of listing; Why list a company?,"# Why Companies List

Companies list to raise capital, improve credibility, increase visibility and allow the public to invest in their growth.",listing;capital,Beginner,What is an IPO?,NSE
10,nse-trading-hours,NSE Basics,Trading,What are the trading hours of the NSE?,NSE opening hours; Market hours; Trading schedule,"# Trading Hours

The NSE operates during official business-day trading sessions. Investors should always consult the latest official NSE trading calendar because schedules may change.",trading hours;market hours,Beginner,Can I trade after hours?,NSE
