id,slug,category,subcategory,question,aliases,answer_markdown,keywords,difficulty,related_questions,source
461,what-is-risk-tolerance,Personal Finance & Portfolio Management,Risk,What is risk tolerance?,Define risk tolerance,"# Risk Tolerance

Risk tolerance is an investor's ability and willingness to accept investment losses in pursuit of potential returns.",risk tolerance,Beginner,What is investment risk?,General
462,how-to-assess-risk-tolerance,Personal Finance & Portfolio Management,Risk,How do I assess my risk tolerance?,Assess risk tolerance,"# Assessing Risk Tolerance

Consider your financial goals, investment horizon, income stability, and comfort with market fluctuations.",risk profile,Beginner,What is risk tolerance?,General
463,what-is-investment-horizon,Personal Finance & Portfolio Management,Planning,What is an investment horizon?,Define investment horizon,"# Investment Horizon

An investment horizon is the length of time an investor expects to hold an investment before needing the money.",investment horizon,Beginner,What is financial planning?,General
464,short-vs-long-term-investing,Personal Finance & Portfolio Management,Planning,What is the difference between short-term and long-term investing?,Short vs long-term investing,"# Short-term vs Long-term Investing

Short-term investing focuses on periods under a few years, while long-term investing aims to build wealth over many years.",long-term investing,Beginner,What is an investment horizon?,General
465,what-is-compound-interest,Personal Finance & Portfolio Management,Wealth Building,What is compound interest?,Define compound interest,"# Compound Interest

Compound interest is interest earned on both the original amount invested and previously earned interest, helping investments grow faster over time.",compound interest,Beginner,Why invest early?,General
466,why-invest-early,Personal Finance & Portfolio Management,Wealth Building,Why should I start investing early?,Benefits of investing early,"# Investing Early

Starting early allows investments more time to grow through compounding and can reduce the amount needed to invest regularly.",invest early,Beginner,What is compound interest?,General
467,what-is-dollar-cost-averaging,Personal Finance & Portfolio Management,Investment Strategy,What is dollar-cost averaging?,Define dollar cost averaging; DCA,"# Dollar-Cost Averaging

Dollar-cost averaging involves investing a fixed amount at regular intervals regardless of market prices.",dollar cost averaging;DCA,Intermediate,What is systematic investing?,General
468,what-is-rebalancing,Personal Finance & Portfolio Management,Portfolio,What is portfolio rebalancing?,Define portfolio rebalancing,"# Portfolio Rebalancing

Rebalancing restores your target asset allocation by buying or selling investments after market movements.",portfolio rebalancing,Intermediate,What is asset allocation?,General
469,what-is-passive-income,Personal Finance & Portfolio Management,Income,What is passive income?,Define passive income,"# Passive Income

Passive income is money earned with limited ongoing effort, such as dividends, rental income, or bond interest.",passive income,Beginner,What is dividend income?,General
470,how-to-build-wealth,Personal Finance & Portfolio Management,Wealth Building,How can I build wealth over time?,Build wealth,"# Building Wealth

Building wealth involves budgeting, saving consistently, investing regularly, managing debt responsibly, and maintaining a long-term financial plan.",wealth building,Beginner,What is financial planning?,General
